SUBJECT;LABEL;DICE;HDRFDST;SSIM
117122;Amygdala;0.119384765625;33.55711548986295;0.9870640695190426
117122;GreyMatter;0.41179959743160066;31.10755535235773;0.7455397723863163
117122;Hippocampus;0.1345361495424383;35.2113618026909;0.9677137556891057
117122;Thalamus;0.2516412496487598;47.51757569573599;0.9751501356440012
117122;WhiteMatter;0.45993999320969975;24.0;0.7611872270397452
117122-PP;Amygdala;0.119384765625;33.55711548986295;0.9870640695190426
117122-PP;GreyMatter;0.4117441045995797;32.019993753903194;0.7455677282961852
117122-PP;Hippocampus;0.13523214415461746;35.2113618026909;0.9686432668871151
117122-PP;Thalamus;0.25213740848819943;47.48726144978251;0.9754772977262706
117122-PP;WhiteMatter;0.45822647492114205;24.475293665245367;0.7610117214530393
118528;Amygdala;0.11271039429884196;29.024127893874777;0.9882282091931983
118528;GreyMatter;0.4310883242570692;31.2;0.7402382858413227
118528;Hippocampus;0.1359769502819767;33.96233207540377;0.9666593431873665
118528;Thalamus;0.24560014304324504;48.328873357445445;0.9747508423379541
118528;WhiteMatter;0.4598241428789363;22.8;0.7609142629832633
118528-PP;Amygdala;0.11271039429884196;29.024127893874777;0.9882282091931983
118528-PP;GreyMatter;0.4310256288409154;32.4;0.7402424847743909
118528-PP;Hippocampus;0.13658683784599346;33.96233207540377;0.9677037884087206
118528-PP;Thalamus;0.245721819042865;48.328873357445445;0.9751381134366539
118528-PP;WhiteMatter;0.4580207916305548;24.298148077579906;0.7606591343495348
118730;Amygdala;0.14453349864942655;34.88266044899672;0.9879406363549235
118730;GreyMatter;0.42842160538590185;31.2;0.7349039273158776
118730;Hippocampus;0.12111886407264084;37.27733896082176;0.9673452830649437
118730;Thalamus;0.23216174026889572;49.47726750741192;0.9742469606310145
118730;WhiteMatter;0.42584118870292503;21.599999999999998;0.7586234653180531
118730-PP;Amygdala;0.14453349864942655;34.88266044899672;0.9879406363549235
118730-PP;GreyMatter;0.4283033999690979;32.4;0.7349080487651102
118730-PP;Hippocampus;0.12168080610088512;37.27733896082176;0.9684081444164782
118730-PP;Thalamus;0.23256518337161464;49.47726750741192;0.9745638679094834
118730-PP;WhiteMatter;0.424311396209048;22.8;0.75843260722501
118932;Amygdala;0.14206572769953052;32.51092124194576;0.9886346059262929
118932;GreyMatter;0.4378083933997438;31.22306839501845;0.743095187581029
118932;Hippocampus;0.13238681088014928;36.17955223603521;0.9673975591687098
118932;Thalamus;0.2558098767905439;49.79638541099143;0.9744877704402366
118932;WhiteMatter;0.46514532619225735;22.8;0.760884306434604
118932-PP;Amygdala;0.14206572769953052;32.51092124194576;0.9886346059262929
118932-PP;GreyMatter;0.43764724242142317;32.4;0.7430951825519434
118932-PP;Hippocampus;0.13285505124450953;36.17955223603521;0.9678556590095927
118932-PP;Thalamus;0.2562757304950296;49.79638541099143;0.9749725891553852
118932-PP;WhiteMatter;0.4636465471797575;23.81931988953505;0.7607486535586883
120111;Amygdala;0.1291402396053559;33.21204600743531;0.9879119134538882
120111;GreyMatter;0.4079489978716719;31.2;0.7458978869982501
120111;Hippocampus;0.13563862169730914;35.37456713516082;0.9673938289027982
120111;Thalamus;0.2402345500403293;49.258501804257094;0.9744151003752907
120111;WhiteMatter;0.4890977277073625;22.76839915321233;0.7606564675424343
120111-PP;Amygdala;0.1291402396053559;33.21204600743531;0.9879119134538882
120111-PP;GreyMatter;0.40790637831741533;32.4;0.7459498401002697
120111-PP;Hippocampus;0.136362940861449;35.31345352694918;0.9680247805157045
120111-PP;Thalamus;0.24059436431761022;49.258501804257094;0.9748293664837921
120111-PP;WhiteMatter;0.4874145640765394;24.0;0.7605829420665489
122317;Amygdala;0.14078193025561447;32.51092124194576;0.987754966331376
122317;GreyMatter;0.43080438001665067;31.2;0.7451578830251543
122317;Hippocampus;0.10956277898592194;34.61329224445429;0.9674453373676906
122317;Thalamus;0.23694510248223297;49.33153149862671;0.9748175216204917
122317;WhiteMatter;0.47220539644566706;20.85377663637932;0.7654219877445598
122317-PP;Amygdala;0.14078193025561447;32.51092124194576;0.987754966331376
122317-PP;GreyMatter;0.43070364506838077;32.4;0.7451649968505187
122317-PP;Hippocampus;0.1100508723018998;34.57166469813104;0.9681126410917822
122317-PP;Thalamus;0.23743290668868702;49.33153149862671;0.9752982432998047
122317-PP;WhiteMatter;0.47025377442418415;23.20689552697646;0.7651956001071502
122620;Amygdala;0.14715425765149523;32.75362575349483;0.9879741340714572
122620;GreyMatter;0.4528240374384645;31.2;0.7424442713478923
122620;Hippocampus;0.13276359790779432;36.199447509596055;0.9668408510200157
122620;Thalamus;0.2508224631651711;46.876859963099065;0.9752213021718006
122620;WhiteMatter;0.43973022255470356;22.83155710852854;0.7666648067648131
122620-PP;Amygdala;0.14715425765149523;32.75362575349483;0.9879741340714572
122620-PP;GreyMatter;0.45270890317033213;32.4;0.7424456569297262
122620-PP;Hippocampus;0.1333314193020485;36.17955223603521;0.9679263882004644
122620-PP;Thalamus;0.25115503080082136;46.876859963099065;0.9753765789251305
122620-PP;WhiteMatter;0.43805661143042524;24.0;0.7664328938334225
123117;Amygdala;0.1494061157442507;30.31039425675621;0.9891866557315945
123117;GreyMatter;0.4311658310429672;31.42992204890111;0.7514799456418877
123117;Hippocampus;0.1315709730018326;35.29305880764658;0.9682244594799709
123117;Thalamus;0.24516281264747522;47.8347154271874;0.9751731294281117
123117;WhiteMatter;0.48981991689817295;21.297887219158618;0.7655628624296645
123117-PP;Amygdala;0.1494061157442507;30.31039425675621;0.9891866557315945
123117-PP;GreyMatter;0.4310525026929177;32.4;0.7515178148785311
123117-PP;Hippocampus;0.1321446691309705;35.29305880764658;0.9688968997211898
123117-PP;Thalamus;0.2457122580136419;47.819661228411064;0.9755262923214739
123117-PP;WhiteMatter;0.48800551450602114;22.8;0.765535679044249
123925;Amygdala;0.14683368128044538;29.024127893874777;0.9890824415006911
123925;GreyMatter;0.42040418999758716;31.2;0.7544574304354684
