LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.13997672714780024
Amygdala;DICE;STD;0.015066056319796519
Amygdala;HDRFDST;MEAN;31.93758120227987
Amygdala;HDRFDST;STD;1.8436124722346605
Amygdala;SSIM;MEAN;0.9882124592112873
Amygdala;SSIM;STD;0.0006042836532250942
GreyMatter;DICE;MEAN;0.42628016261517254
GreyMatter;DICE;STD;0.013114489068499009
GreyMatter;HDRFDST;MEAN;31.7745865462815
GreyMatter;HDRFDST;STD;0.5653758156009866
GreyMatter;SSIM;MEAN;0.7449050234709451
GreyMatter;SSIM;STD;0.005177966736672826
Hippocampus;DICE;MEAN;0.13078442162589748
Hippocampus;DICE;STD;0.008284611601403263
Hippocampus;HDRFDST;MEAN;35.31514271407054
Hippocampus;HDRFDST;STD;1.051044758719001
Hippocampus;SSIM;MEAN;0.9679450076783269
Hippocampus;SSIM;STD;0.0007369440389188884
Thalamus;DICE;MEAN;0.24746555639718867
Thalamus;DICE;STD;0.008325098760193947
Thalamus;HDRFDST;MEAN;48.46625631971925
Thalamus;HDRFDST;STD;1.0835120448214144
Thalamus;SSIM;MEAN;0.9750253558521864
Thalamus;SSIM;STD;0.00037266375253009636
WhiteMatter;DICE;MEAN;0.46002909499844674
WhiteMatter;DICE;STD;0.021789778962328827
WhiteMatter;HDRFDST;MEAN;22.865755842967797
WhiteMatter;HDRFDST;STD;1.0493854057418956
WhiteMatter;SSIM;MEAN;0.7632186663828149
WhiteMatter;SSIM;STD;0.003029648988341185
