LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.15224846473628423
Amygdala;DICE;STD;0.015868438922619153
Amygdala;HDRFDST;MEAN;30.65063848295186
Amygdala;HDRFDST;STD;1.9321906188032127
Amygdala;SSIM;MEAN;0.9892790541270298
Amygdala;SSIM;STD;0.0006306871992316745
GreyMatter;DICE;MEAN;0.4549996845049066
GreyMatter;DICE;STD;0.013802968512790649
GreyMatter;HDRFDST;MEAN;22.713437099885397
GreyMatter;HDRFDST;STD;0.6377892359938101
GreyMatter;SSIM;MEAN;0.7715603202209357
GreyMatter;SSIM;STD;0.0045674474399030355
Hippocampus;DICE;MEAN;0.13929324168271182
Hippocampus;DICE;STD;0.008956060936221526
Hippocampus;HDRFDST;MEAN;33.44215268545948
Hippocampus;HDRFDST;STD;0.6700177329110001
Hippocampus;SSIM;MEAN;0.9743850549101559
Hippocampus;SSIM;STD;0.0005238950981538506
Thalamus;DICE;MEAN;0.23808357249710785
Thalamus;DICE;STD;0.008036427660106793
Thalamus;HDRFDST;MEAN;46.79516009106649
Thalamus;HDRFDST;STD;1.0770292714025844
Thalamus;SSIM;MEAN;0.9760247465319631
Thalamus;SSIM;STD;0.00023698634984816442
WhiteMatter;DICE;MEAN;0.47639312381347176
WhiteMatter;DICE;STD;0.021415637533385948
WhiteMatter;HDRFDST;MEAN;22.853537213218637
WhiteMatter;HDRFDST;STD;1.105593435233352
WhiteMatter;SSIM;MEAN;0.7812625338711274
WhiteMatter;SSIM;STD;0.0031192481323226804
