SUBJECT;LABEL;DICE;HDRFDST;SSIM
117122;Amygdala;0.11627352202405175;31.404458282224837;0.9912426491840274
117122;GreyMatter;0.4373713694885457;32.800000000000004;0.7970590775693568
117122;Hippocampus;0.14229891832301866;32.13969508256107;0.9824396409929096
117122;Thalamus;0.2546981285092876;45.830993879688016;0.9801271591790791
117122;WhiteMatter;0.47780760451980436;18.880677953929514;0.8029251677817331
117122-PP;Amygdala;0.11653516729251931;31.41464626571498;0.9912527388433487
117122-PP;GreyMatter;0.4373592053668422;32.800000000000004;0.7970648899348551
117122-PP;Hippocampus;0.14229969492394928;32.13969508256107;0.9824401538614449
117122-PP;Thalamus;0.2550802180624791;45.830993879688016;0.9801475884591607
117122-PP;WhiteMatter;0.4766781507651148;22.400000000000002;0.8060855734584162
118528;Amygdala;0.11427269175673915;26.808953728185667;0.9921736703769393
118528;GreyMatter;0.457070618496434;32.800000000000004;0.7920292691809776
118528;Hippocampus;0.14541025681234873;29.62161373051779;0.9818044275744104
118528;Thalamus;0.25116235747052384;46.49645147750525;0.9799746422762503
118528;WhiteMatter;0.4781242856194739;18.400000000000002;0.802244370306457
118528-PP;Amygdala;0.11455987466953882;26.808953728185667;0.9921832678680103
118528-PP;GreyMatter;0.45707748295743295;32.800000000000004;0.7920371393419313
118528-PP;Hippocampus;0.145411016904854;29.62161373051779;0.9818046835390707
118528-PP;Thalamus;0.2515312848792667;46.51021393199563;0.9799955732351169
118528-PP;WhiteMatter;0.477025331343948;22.44281622256886;0.8055866447106159
118730;Amygdala;0.1503184713375796;33.04300228490142;0.9919780308063348
118730;GreyMatter;0.45361279492679285;32.800000000000004;0.7876662881795843
118730;Hippocampus;0.12007578000118406;34.74248120097354;0.9826999320183042
118730;Thalamus;0.23983536135199543;47.84642097377818;0.9795365149076204
118730;WhiteMatter;0.44239175694174626;16.0;0.800467180673504
118730-PP;Amygdala;0.1506838777174331;33.04300228490142;0.9919881716356406
118730-PP;GreyMatter;0.45359207362998927;32.800000000000004;0.7876701815113727
118730-PP;Hippocampus;0.12007649089154515;34.74248120097354;0.9827000382896773
118730-PP;Thalamus;0.2399809873542907;47.84642097377818;0.9795551805487097
118730-PP;WhiteMatter;0.4413488066776637;21.241468875762806;0.8025752046782084
118932;Amygdala;0.14638906961613532;30.911486538178654;0.9924421490316587
118932;GreyMatter;0.4639630142404122;32.800000000000004;0.7951103453503628
118932;Hippocampus;0.14787230402500084;32.02998595066816;0.9828335051636856
118932;Thalamus;0.26386708827164707;48.12649997662411;0.9798571484241481
118932;WhiteMatter;0.4841530448285039;19.01578291840754;0.8018072513894257
118932-PP;Amygdala;0.14677582439088033;30.880414504990053;0.9924525129199653
118932-PP;GreyMatter;0.46392113274100377;32.800000000000004;0.7951095246670716
118932-PP;Hippocampus;0.14787314730857185;32.02998595066816;0.982833667877535
118932-PP;Thalamus;0.2641639884819061;48.13314866077224;0.9798752628979277
118932-PP;WhiteMatter;0.4832053620302032;23.186202793903103;0.8050606570504614
120111;Amygdala;0.12812424168891046;31.54679064500857;0.9918150679843023
120111;GreyMatter;0.4346678634898517;32.800000000000004;0.7979364504564335
120111;Hippocampus;0.1586112511704963;31.8898102847916;0.9835869492728414
120111;Thalamus;0.24512184647578297;47.17287356097782;0.979856539127588
120111;WhiteMatter;0.5112585335876453;17.269626515938324;0.8021970087536076
120111-PP;Amygdala;0.12843199854054546;31.54679064500857;0.9918251461380285
120111-PP;GreyMatter;0.4346588135506543;32.800000000000004;0.7979414098667692
120111-PP;Hippocampus;0.1586122032473964;31.8898102847916;0.9835870570268446
120111-PP;Thalamus;0.2452761528378299;47.17965663291754;0.979877754201777
120111-PP;WhiteMatter;0.5101558275446113;21.718195136797167;0.8060824329595521
122317;Amygdala;0.14926839433768477;31.2;0.9918552529938602
122317;GreyMatter;0.45794105954209735;32.87795614085523;0.7978602471710037
122317;Hippocampus;0.13501232579274167;30.94252736930195;0.9823845717685843
122317;Thalamus;0.24076206591306118;47.38269726387472;0.9801041357974583
122317;WhiteMatter;0.49345670005422726;15.93988707613702;0.8057242696191396
122317-PP;Amygdala;0.14961135064973816;31.200000000000003;0.9918650495191039
122317-PP;GreyMatter;0.45792524051056294;32.887687665751145;0.797865465774004
122317-PP;Hippocampus;0.13501306051371353;30.94252736930195;0.9823846858075205
122317-PP;Thalamus;0.24113736785515277;47.38269726387472;0.9801256187603471
122317-PP;WhiteMatter;0.492322944894774;21.04471430074545;0.8095941968472559
122620;Amygdala;0.16223610414481784;30.911486538178654;0.9920479356701476
122620;GreyMatter;0.47857789237736076;32.800000000000004;0.7946017329668574
122620;Hippocampus;0.1410721352176199;30.734996339677675;0.9821123392265466
122620;Thalamus;0.26054885048555737;45.32548951748895;0.980189470973578
122620;WhiteMatter;0.4583452886542521;18.048822676285564;0.8078998007130535
122620-PP;Amygdala;0.16262169203345675;30.911486538178654;0.9920576415010182
122620-PP;GreyMatter;0.4785291058839457;32.800000000000004;0.7945980418822746
122620-PP;Hippocampus;0.14107366469526375;30.734996339677675;0.982112514700122
122620-PP;Thalamus;0.2610290546080523;45.32548951748895;0.9802146477352108
122620-PP;WhiteMatter;0.45697187727739313;21.62960933535324;0.8102946376022386
123117;Amygdala;0.16158814856420697;28.844410203711913;0.9929304209743745
123117;GreyMatter;0.45743548924211536;32.800000000000004;0.8019433903870179
123117;Hippocampus;0.14565344413425957;29.81543224573476;0.9825624184288897
123117;Thalamus;0.25280945874348176;46.22726468221973;0.9802381446001724
123117;WhiteMatter;0.5104565820092157;19.200000000000003;0.8053689284796874
123117-PP;Amygdala;0.1620204153467089;28.844410203711913;0.9929399379366567
123117-PP;GreyMatter;0.45740745912106157;32.800000000000004;0.801945307106419
123117-PP;Hippocampus;0.14565502018026985;29.81543224573476;0.9825625398930753
123117-PP;Thalamus;0.2529836746098272;46.22726468221973;0.9802586446129247
123117-PP;WhiteMatter;0.5090329972880071;22.400000000000002;0.8097949174358215
123925;Amygdala;0.15296500663546833;27.539063164893612;0.9928783825359326
123925;GreyMatter;0.44595094280050473;32.800000000000004;0.8053490101902231
123925;Hippocampus;0.15901494000319397;29.50254226333724;0.9829219240235361
123925;Thalamus;0.2643706265208937;45.12737528374545;0.9801808475258624
123925;WhiteMatter;0.4989243793378071;16.8;0.8082532620211406
123925-PP;Amygdala;0.15338282672643228;27.58550343930667;0.992887647057534
123925-PP;GreyMatter;0.4459213220898472;32.800000000000004;0.805351461595722
123925-PP;Hippocampus;0.15901581567469933;29.50254226333724;0.9829220898809707
123925-PP;Thalamus;0.26479085737394475;45.12737528374545;0.9802068478120599
123925-PP;WhiteMatter;0.49789270028421073;21.6;0.8124476070811235
124422;Amygdala;0.18538496308573152;29.164361813693095;0.9922519131965011
124422;GreyMatter;0.437421876682311;32.800000000000004;0.7964071353710825
124422;Hippocampus;0.15353459015522322;29.68636050444716;0.9834921381211548
124422;Thalamus;0.2597635076483864;47.73258844856416;0.9801869072885225
124422;WhiteMatter;0.4446047397070659;16.336462285329713;0.8063071871294102
124422-PP;Amygdala;0.18584137628951622;29.153387453261757;0.9922620624896653
124422-PP;GreyMatter;0.43741769534663333;32.800000000000004;0.7964156757016063
124422-PP;Hippocampus;0.15353549666997307;29.68636050444716;0.9834923200756129
124422-PP;Thalamus;0.2602540063018306;47.73258844856416;0.9802128315072487
124422-PP;WhiteMatter;0.4435967790895;22.083477986947617;0.8083387413977423
