LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.13232339022648332
Amygdala;DICE;STD;0.018669852668052458
Amygdala;HDRFDST;MEAN;31.47659500537937
Amygdala;HDRFDST;STD;1.8438999070791402
Amygdala;SSIM;MEAN;0.9913658311969155
Amygdala;SSIM;STD;0.0004916480228881907
GreyMatter;DICE;MEAN;0.43095802010548023
GreyMatter;DICE;STD;0.012660425940688154
GreyMatter;HDRFDST;MEAN;25.325983199797264
GreyMatter;HDRFDST;STD;5.911562819051032
GreyMatter;SSIM;MEAN;0.7831561666001836
GreyMatter;SSIM;STD;0.004963267764386234
Hippocampus;DICE;MEAN;0.12624325896714067
Hippocampus;DICE;STD;0.008326259385995516
Hippocampus;HDRFDST;MEAN;35.13054497332597
Hippocampus;HDRFDST;STD;0.9234770582543285
Hippocampus;SSIM;MEAN;0.9755657491758523
Hippocampus;SSIM;STD;0.000522341965414588
Thalamus;DICE;MEAN;0.2559996327446344
Thalamus;DICE;STD;0.008743481070525002
Thalamus;HDRFDST;MEAN;48.14906635799475
Thalamus;HDRFDST;STD;1.0292758879028592
Thalamus;SSIM;MEAN;0.9803642919998199
Thalamus;SSIM;STD;0.00023755107279534187
WhiteMatter;DICE;MEAN;0.46087503818781544
WhiteMatter;DICE;STD;0.02254853725285474
WhiteMatter;HDRFDST;MEAN;17.199485321998374
WhiteMatter;HDRFDST;STD;3.0439620001508856
WhiteMatter;SSIM;MEAN;0.8004711553923508
WhiteMatter;SSIM;STD;0.0027481817489281627
