LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.1547186547546636
Amygdala;DICE;STD;0.015451398502068751
Amygdala;HDRFDST;MEAN;30.83493738233681
Amygdala;HDRFDST;STD;1.9781649646497388
Amygdala;SSIM;MEAN;0.9910618517953532
Amygdala;SSIM;STD;0.0005057823560716405
GreyMatter;DICE;MEAN;0.4448651611486267
GreyMatter;DICE;STD;0.012687831124448172
GreyMatter;HDRFDST;MEAN;29.86757883626471
GreyMatter;HDRFDST;STD;0.7669644447512828
GreyMatter;SSIM;MEAN;0.7834065781259619
GreyMatter;SSIM;STD;0.004763950937970531
Hippocampus;DICE;MEAN;0.14738887538725123
Hippocampus;DICE;STD;0.011344177451972371
Hippocampus;HDRFDST;MEAN;32.2760062580298
Hippocampus;HDRFDST;STD;1.2407336666751303
Hippocampus;SSIM;MEAN;0.9822728181436877
Hippocampus;SSIM;STD;0.0005266660121782129
Thalamus;DICE;MEAN;0.24951723612106114
Thalamus;DICE;STD;0.010168602918220736
Thalamus;HDRFDST;MEAN;47.262883567916205
Thalamus;HDRFDST;STD;1.063643194683639
Thalamus;SSIM;MEAN;0.9786518947885969
Thalamus;SSIM;STD;0.0002827880379641236
WhiteMatter;DICE;MEAN;0.47579552682407006
WhiteMatter;DICE;STD;0.022914084305105088
WhiteMatter;HDRFDST;MEAN;19.789680366362866
WhiteMatter;HDRFDST;STD;2.923876022883345
WhiteMatter;SSIM;MEAN;0.7940596063112684
WhiteMatter;SSIM;STD;0.00301322759257004
