LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.14831115103781714
Amygdala;DICE;STD;0.015497414290334
Amygdala;HDRFDST;MEAN;31.232180150538404
Amygdala;HDRFDST;STD;1.8053872283571655
Amygdala;SSIM;MEAN;0.9888499751427997
Amygdala;SSIM;STD;0.0005439518942184034
GreyMatter;DICE;MEAN;0.4511890659927545
GreyMatter;DICE;STD;0.013513784435950813
GreyMatter;HDRFDST;MEAN;27.283296659631105
GreyMatter;HDRFDST;STD;1.924635909090896
GreyMatter;SSIM;MEAN;0.7652823412020302
GreyMatter;SSIM;STD;0.004583938346375242
Hippocampus;DICE;MEAN;0.1435603740310903
Hippocampus;DICE;STD;0.012350148527441474
Hippocampus;HDRFDST;MEAN;31.7402310854953
Hippocampus;HDRFDST;STD;1.3927421295266353
Hippocampus;SSIM;MEAN;0.9799881606301408
Hippocampus;SSIM;STD;0.0005701194991504855
Thalamus;DICE;MEAN;0.24167001359476425
Thalamus;DICE;STD;0.009118449812624078
Thalamus;HDRFDST;MEAN;47.28828675907333
Thalamus;HDRFDST;STD;1.2128212529675542
Thalamus;SSIM;MEAN;0.9766376524986133
Thalamus;SSIM;STD;0.00029655392992080216
WhiteMatter;DICE;MEAN;0.4786140683482761
WhiteMatter;DICE;STD;0.02224533201648831
WhiteMatter;HDRFDST;MEAN;22.743372035831932
WhiteMatter;HDRFDST;STD;1.4805500463469594
WhiteMatter;SSIM;MEAN;0.779320838453028
WhiteMatter;SSIM;STD;0.0029351411120311106
