LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.1498435794785661
Amygdala;DICE;STD;0.014904334033474223
Amygdala;HDRFDST;MEAN;30.94143723175464
Amygdala;HDRFDST;STD;1.877088712178532
Amygdala;SSIM;MEAN;0.9919364539557286
Amygdala;SSIM;STD;0.00045524229637604514
GreyMatter;DICE;MEAN;0.44378890837046603
GreyMatter;DICE;STD;0.012788444628340966
GreyMatter;HDRFDST;MEAN;27.943851975645345
GreyMatter;HDRFDST;STD;3.109523558878711
GreyMatter;SSIM;MEAN;0.790743163958628
GreyMatter;SSIM;STD;0.004629756026237995
Hippocampus;DICE;MEAN;0.13016688500321275
Hippocampus;DICE;STD;0.008670950392764668
Hippocampus;HDRFDST;MEAN;34.376151845952805
Hippocampus;HDRFDST;STD;0.8989906918294456
Hippocampus;SSIM;MEAN;0.9769328995866671
Hippocampus;SSIM;STD;0.0005114093533973162
Thalamus;DICE;MEAN;0.25117486828884406
Thalamus;DICE;STD;0.00859452057691161
Thalamus;HDRFDST;MEAN;47.45167241980459
Thalamus;HDRFDST;STD;1.0367181697822478
Thalamus;SSIM;MEAN;0.980092690151895
Thalamus;SSIM;STD;0.00022803251686390343
WhiteMatter;DICE;MEAN;0.4698856673577886
WhiteMatter;DICE;STD;0.0226362846550534
WhiteMatter;HDRFDST;MEAN;20.581153317389486
WhiteMatter;HDRFDST;STD;1.4751705413639198
WhiteMatter;SSIM;MEAN;0.8064305591830688
WhiteMatter;SSIM;STD;0.0028263255160175384
