LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.1430580479970834
Amygdala;DICE;STD;0.014550517224340316
Amygdala;HDRFDST;MEAN;31.46014830441796
Amygdala;HDRFDST;STD;1.9004127614882522
Amygdala;SSIM;MEAN;0.9909494995590821
Amygdala;SSIM;STD;0.0004559285521706026
GreyMatter;DICE;MEAN;0.4453261576780669
GreyMatter;DICE;STD;0.013066835598685619
GreyMatter;HDRFDST;MEAN;30.675238531779428
GreyMatter;HDRFDST;STD;1.2721010252470721
GreyMatter;SSIM;MEAN;0.8014325566181334
GreyMatter;SSIM;STD;0.004693888885863767
Hippocampus;DICE;MEAN;0.1338102440592312
Hippocampus;DICE;STD;0.008704770421190972
Hippocampus;HDRFDST;MEAN;33.88822164267481
Hippocampus;HDRFDST;STD;0.8437617536643263
Hippocampus;SSIM;MEAN;0.9787436210780374
Hippocampus;SSIM;STD;0.0004768478581079063
Thalamus;DICE;MEAN;0.25775127704886536
Thalamus;DICE;STD;0.009514405041045915
Thalamus;HDRFDST;MEAN;47.28137397887466
Thalamus;HDRFDST;STD;1.04936870059781
Thalamus;SSIM;MEAN;0.9816798376166778
Thalamus;SSIM;STD;0.00023740952770669687
WhiteMatter;DICE;MEAN;0.4718321766865567
WhiteMatter;DICE;STD;0.02207403510636718
WhiteMatter;HDRFDST;MEAN;21.17172359479714
WhiteMatter;HDRFDST;STD;1.5994124000739058
WhiteMatter;SSIM;MEAN;0.8152719012126616
WhiteMatter;SSIM;STD;0.0026623426105043617
