LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.1534124798601604
Amygdala;DICE;STD;0.018874134279645738
Amygdala;HDRFDST;MEAN;30.369579396494593
Amygdala;HDRFDST;STD;1.9338167648489968
Amygdala;SSIM;MEAN;0.992768193659056
Amygdala;SSIM;STD;0.000446615659959685
GreyMatter;DICE;MEAN;0.4553831922970895
GreyMatter;DICE;STD;0.012426205186114843
GreyMatter;HDRFDST;MEAN;29.506818775527165
GreyMatter;HDRFDST;STD;0.2786498666742107
GreyMatter;SSIM;MEAN;0.8048793764080049
GreyMatter;SSIM;STD;0.004742579428001946
Hippocampus;DICE;MEAN;0.1488862471349218
Hippocampus;DICE;STD;0.01257833478083587
Hippocampus;HDRFDST;MEAN;31.806819654897442
Hippocampus;HDRFDST;STD;1.4276636301418182
Hippocampus;SSIM;MEAN;0.9826187978361987
Hippocampus;SSIM;STD;0.0005639760508237792
Thalamus;DICE;MEAN;0.2383048846022197
Thalamus;DICE;STD;0.008903397268992308
Thalamus;HDRFDST;MEAN;46.92961502383558
Thalamus;HDRFDST;STD;1.021388131214229
Thalamus;SSIM;MEAN;0.979567947693328
Thalamus;SSIM;STD;0.000224991351247429
WhiteMatter;DICE;MEAN;0.48092458271169747
WhiteMatter;DICE;STD;0.02302364885949835
WhiteMatter;HDRFDST;MEAN;21.159531037652815
WhiteMatter;HDRFDST;STD;2.031685572771321
WhiteMatter;SSIM;MEAN;0.8103727820873272
WhiteMatter;SSIM;STD;0.003234590720485976
