SUBJECT;LABEL;DICE;HDRFDST;SSIM
117122;Amygdala;0.12648112427666025;31.878833102859957;0.9918972213360614
117122;GreyMatter;0.4399687864819981;29.4;0.805310650472573
117122;Hippocampus;0.14666771455517133;32.84037149607172;0.9824289999981336
117122;Thalamus;0.23798635786725914;46.13631974919543;0.9796255700014039
117122;WhiteMatter;0.4777462810941785;20.59951455738702;0.8070546006862651
117122-PP;Amygdala;0.12649506696797663;31.84807686501651;0.9918974474193959
117122-PP;GreyMatter;0.43984413070771144;29.408332152640003;0.8054058087684567
117122-PP;Hippocampus;0.1466829114919038;32.8105166067223;0.9826040749854984
117122-PP;Thalamus;0.23814052226368695;46.099132312875476;0.9796274685075999
117122-PP;WhiteMatter;0.476701280552502;23.68649404196408;0.8102826233998346
118528;Amygdala;0.12307363927427961;27.056607326122762;0.9927746700481618
118528;GreyMatter;0.4611963366525723;29.4;0.8003148383295959
118528;Hippocampus;0.14995111101159153;30.399671050851843;0.9818078480763498
118528;Thalamus;0.23723004897931718;46.585512769529544;0.9795249200625863
118528;WhiteMatter;0.4808460336359913;20.299999999999997;0.8074020636079009
118528-PP;Amygdala;0.12309071696179832;27.056607326122762;0.9927747076111831
118528-PP;GreyMatter;0.4611672661516802;29.59104594298755;0.8004256175807783
118528-PP;Hippocampus;0.1499796568160864;30.399671050851847;0.9820846330629809
118528-PP;Thalamus;0.23740174625210222;46.56447143477525;0.9795308238425389
118528-PP;WhiteMatter;0.4798818828580342;23.65544334820212;0.8106394071023287
118730;Amygdala;0.15878830574145825;33.49776111921511;0.9926238900836896
118730;GreyMatter;0.454627096511524;29.936766692480333;0.7953929030962061
118730;Hippocampus;0.12030465713300438;35.216331438694745;0.9825496465699441
118730;Thalamus;0.22468483315810908;48.061002902561235;0.9790527343098337
118730;WhiteMatter;0.44447615788779127;18.159570479501983;0.8039237164710074
118730-PP;Amygdala;0.15880908285691278;33.50507424256809;0.9926241123016795
118730-PP;GreyMatter;0.4546033942862041;30.099999999999998;0.7955221834406643
118730-PP;Hippocampus;0.1203241231599879;35.216331438694745;0.9827199908475535
118730-PP;Thalamus;0.22474967761511036;48.061002902561235;0.9790524980801922
118730-PP;WhiteMatter;0.4435172205961727;22.147008827378922;0.8061013498525071
118932;Amygdala;0.15585445581694443;30.80795351853154;0.9930596716147604
118932;GreyMatter;0.46802279427903826;29.081609308977384;0.8032492304502341
118932;Hippocampus;0.15365695211090363;32.51799501814342;0.982614949561852
118932;Thalamus;0.24647340037208865;48.18827658258801;0.9793912045942895
118932;WhiteMatter;0.4865794118629556;18.861071019430472;0.8065181163109236
118932-PP;Amygdala;0.15589789770473525;30.80795351853154;0.993060516508575
118932-PP;GreyMatter;0.4679266427967671;29.4;0.8033764515761086
118932-PP;Hippocampus;0.1536795563855392;32.49538428761845;0.982757406067641
118932-PP;Thalamus;0.24663721528894253;48.1475856092494;0.9793949305595459
118932-PP;WhiteMatter;0.48563196471323483;23.099999999999998;0.8096223917498484
120111;Amygdala;0.13646042707317557;31.878833102859957;0.9924614206810363
120111;GreyMatter;0.4402482039980832;29.24123800388759;0.8070129163077379
120111;Hippocampus;0.1650705962571606;32.48784388044242;0.9835960933671041
120111;Thalamus;0.22879540895651268;47.465987822861116;0.9794368568063556
120111;WhiteMatter;0.5108209132898434;18.9;0.8073781552882283
120111-PP;Amygdala;0.13647400684658864;31.878833102859957;0.992461424193065
120111-PP;GreyMatter;0.44006168175088645;29.4;0.8071012927400613
120111-PP;Hippocampus;0.16509927762550333;32.48784388044242;0.9837631306191489
120111-PP;Thalamus;0.22883639630016267;47.45566351869922;0.9794382269003041
120111-PP;WhiteMatter;0.5098387772878636;23.099999999999998;0.8110694008467632
122317;Amygdala;0.15231755665410407;31.100803848132283;0.9924637816526473
122317;GreyMatter;0.4570857073584677;29.44995755514768;0.8058192393242173
122317;Hippocampus;0.14020245926860714;31.281464160106058;0.9823565482605816
122317;Thalamus;0.22570938794907294;47.574257745129344;0.9795869417038349
122317;WhiteMatter;0.4943410373311561;19.57498403575339;0.8096242997747171
122317-PP;Amygdala;0.15233694268763096;31.116555079250016;0.9924637868643719
122317-PP;GreyMatter;0.4569150856789535;29.805536398461275;0.8058992128367138
122317-PP;Hippocampus;0.14022048225624245;31.273631065164146;0.9825475722037329
122317-PP;Thalamus;0.2258394057853907;47.56395694220572;0.9795871099087328
122317-PP;WhiteMatter;0.4931348710837598;23.089391503458895;0.8131788490424187
122620;Amygdala;0.1652324268137887;31.28929529407781;0.992662447924943
122620;GreyMatter;0.4809142473510537;29.4;0.8026792390829122
122620;Hippocampus;0.14289090986588962;31.210895533451136;0.981983988553894
122620;Thalamus;0.24355622683620778;45.33276960433809;0.9797266719485507
122620;WhiteMatter;0.45939321266827426;20.59951455738702;0.8118010277359391
122620-PP;Amygdala;0.16528198514341702;31.281464160106058;0.9926627421286623
122620-PP;GreyMatter;0.48085594268473786;29.60760037557924;0.8027960322508882
122620-PP;Hippocampus;0.14290918391864765;31.218744369368856;0.9821386848691789
122620-PP;Thalamus;0.2437319468515309;45.31114653151032;0.9797290541298355
122620-PP;WhiteMatter;0.45801298392952355;23.099999999999998;0.8141058967733347
123117;Amygdala;0.1675588803200407;29.11528808031959;0.9935155115149487
123117;GreyMatter;0.4599611762751108;28.938037252032142;0.8097798746957439
123117;Hippocampus;0.14712425267646104;30.998225755678337;0.9817755685263547
123117;Thalamus;0.23998063437250675;46.39051627218649;0.9798945951189335
123117;WhiteMatter;0.5123617978280522;18.427425213523453;0.8099895191473586
123117-PP;Amygdala;0.16760538946394496;29.073183520213263;0.9935156393336093
123117-PP;GreyMatter;0.4598273271547253;29.4;0.8098791662462164
123117-PP;Hippocampus;0.1471408593261066;30.998225755678337;0.9819708163056503
123117-PP;Thalamus;0.24012009962134984;46.37466981014528;0.9798932911121153
123117-PP;WhiteMatter;0.5109009671724989;22.79034883453959;0.8140263312082937
123925;Amygdala;0.16004933027302937;27.478900996946727;0.9933742297904821
123925;GreyMatter;0.45027822596236655;29.466591251788863;0.8136719709344349
123925;Hippocampus;0.16615200167216826;30.099999999999998;0.9830441896388453
123925;Thalamus;0.25275541527744055;45.54843575799283;0.9797917482288656
123925;WhiteMatter;0.4997408318410496;18.2;0.8135238897433865
123925-PP;Amygdala;0.16008406240720013;27.487815482500604;0.9933742925619781
123925-PP;GreyMatter;0.4502558887846998;29.904013108611355;0.8137806440251935
123925-PP;Hippocampus;0.16617756109875198;30.099999999999998;0.9832061005054702
123925-PP;Thalamus;0.2529890591652049;45.54843575799283;0.9797939014420547
123925-PP;WhiteMatter;0.4987891499869134;22.88689581398054;0.8174401547967206
124422;Amygdala;0.18816890252957774;29.61587412182865;0.992848172153131
124422;GreyMatter;0.442013277770927;29.408332152640003;0.8050229982857877
124422;Hippocampus;0.15673036093418258;31.092925240317932;0.9831311132573399
124422;Thalamus;0.2451272987978725;48.10176711930654;0.9796387860399641
124422;WhiteMatter;0.4483871235190377;18.912958520548813;0.8108242439030559
124422-PP;Amygdala;0.18818939738994395;29.61587412182865;0.9928481874587359
124422-PP;GreyMatter;0.441890633304283;29.797315315309863;0.8051472577155717
124422-PP;Hippocampus;0.15676031513452676;30.99032106965012;0.9832946014467208
124422-PP;Thalamus;0.24535261033452624;48.08138933100831;0.9796416205690236
124422-PP;WhiteMatter;0.4473897550951151;23.099999999999998;0.8129496043057146
