SUBJECT;LABEL;DICE;HDRFDST;SSIM
117122;Amygdala;0.1207397412493055;33.19653596386225;0.9907574912929132
117122;GreyMatter;0.4108601224745017;14.996999699939982;0.795022737161162
117122;Hippocampus;0.1339150741390102;34.35709533706247;0.9833215177560619
117122;Thalamus;0.2406029520349878;47.55880570409648;0.9803372155745
117122;WhiteMatter;0.46469899164640205;23.014995111883035;0.8101847418157491
117122-PP;Amygdala;0.12074165793567641;33.19653596386225;0.9907704137849035
117122-PP;GreyMatter;0.41084135467847055;23.799999999999997;0.7955270289915755
117122-PP;Hippocampus;0.1339150741390102;34.35709533706247;0.9833215177560619
117122-PP;Thalamus;0.24095724026720813;47.55880570409648;0.9803581095434922
117122-PP;WhiteMatter;0.462827851470398;25.151341912510354;0.810096678966251
118528;Amygdala;0.11948811834733249;28.113519879232484;0.991710842699894
118528;GreyMatter;0.43483978659847766;14.0;0.79057266442457
118528;Hippocampus;0.13898642700051328;31.585439683499736;0.9823629151080882
118528;Thalamus;0.23626976907881855;47.84642097377817;0.9802571477751975
118528;WhiteMatter;0.4664458783122292;21.7;0.8100108355996843
118528-PP;Amygdala;0.11949141626952729;28.113519879232484;0.9917263230601949
118528-PP;GreyMatter;0.4348137942162314;25.528415540334656;0.7911150204560182
118528-PP;Hippocampus;0.13898689944456907;31.585439683499736;0.9823742221088264
118528-PP;Thalamus;0.23654013696284032;47.85154124999528;0.9802755583247971
118528-PP;WhiteMatter;0.46457063901414775;24.509997960016236;0.8099119445904761
118730;Amygdala;0.14781239728041798;34.98599719887944;0.9914885292793743
118730;GreyMatter;0.425968971099107;13.46476884316994;0.7853412273615205
118730;Hippocampus;0.10891658073099116;36.163655788650566;0.983474568663179
118730;Thalamus;0.22269884521830688;49.38349926848035;0.9796484743989144
118730;WhiteMatter;0.42988784795645224;20.299999999999997;0.8063716283661949
118730-PP;Amygdala;0.147813675879071;34.98599719887944;0.9914966057130226
118730-PP;GreyMatter;0.4259405355812034;24.5;0.7859195299832883
118730-PP;Hippocampus;0.10891786682830637;36.163655788650566;0.9835084896653938
118730-PP;Thalamus;0.22297717804347666;49.39342061449075;0.979666973678308
118730-PP;WhiteMatter;0.42814693354133515;23.395084953895765;0.8063149394823789
118932;Amygdala;0.14351392107102137;31.901880822296352;0.9918460015939476
118932;GreyMatter;0.43919574431057934;14.069825869569245;0.7934207099252153
118932;Hippocampus;0.13738695258319844;33.98426106302739;0.9832167662810591
118932;Thalamus;0.24508720499549463;49.423172702690785;0.9800211409720897
118932;WhiteMatter;0.47230130279461935;20.45629487468344;0.8098238514522489
118932-PP;Amygdala;0.14351787996652965;31.901880822296352;0.9918718922695864
118932-PP;GreyMatter;0.4391555170946339;25.605077621440632;0.7939162483325222
118932-PP;Hippocampus;0.13738746264223795;33.98426106302739;0.983224842714494
118932-PP;Thalamus;0.24537080952763163;49.423172702690785;0.9800392125432199
118932-PP;WhiteMatter;0.47056195676730994;24.17788245483876;0.8097563955929855
120111;Amygdala;0.13364118586167237;33.1448336849048;0.9913680692427166
120111;GreyMatter;0.4101245231003602;14.225681003031102;0.7965806767044102
120111;Hippocampus;0.14735389186301764;33.607290875641844;0.9840132337514251
120111;Thalamus;0.2254489778615637;48.699075966593036;0.9800351308562362
120111;WhiteMatter;0.49677682024835446;21.7;0.8106702314056983
120111-PP;Amygdala;0.1336423329470838;33.1448336849048;0.9913729151045935
120111-PP;GreyMatter;0.4100916100529321;23.290126663459773;0.7970467108896568
120111-PP;Hippocampus;0.14735389186301764;33.607290875641844;0.9840132337514251
120111-PP;Thalamus;0.22573498742447817;48.699075966593036;0.9800530036716117
120111-PP;WhiteMatter;0.49489455461126847;24.5;0.8106724632193756
122317;Amygdala;0.1408460191297319;32.351816023215754;0.9912434559790657
122317;GreyMatter;0.4280256354726479;13.94740119161989;0.7962855038469705
122317;Hippocampus;0.12804969906527305;32.966953150086525;0.9831039198758028
122317;Thalamus;0.23131032797472553;48.909917194777584;0.9803522972015599
122317;WhiteMatter;0.4809280676451229;20.918173916477507;0.8134662999141331
122317-PP;Amygdala;0.1408460191297319;32.351816023215754;0.9912434559790657
122317-PP;GreyMatter;0.42798754175034215;25.91891201420306;0.7968869462115288
122317-PP;Hippocampus;0.12804969906527305;32.966953150086525;0.9831039198758028
122317-PP;Thalamus;0.23164324313525717;48.9149261473428;0.9803721237403308
122317-PP;WhiteMatter;0.47887781895442955;24.1170064477331;0.813492281531082
122620;Amygdala;0.1508422598850644;32.84037149607172;0.99144524413237
122620;GreyMatter;0.45150498108136006;13.5373557240696;0.7918747001353234
122620;Hippocampus;0.12896255424629716;34.12814088109693;0.9826613084425034
122620;Thalamus;0.24424526733862065;46.31651973108515;0.9804588695161871
122620;WhiteMatter;0.4439225309711909;22.27936264797537;0.8141910044539232
122620-PP;Amygdala;0.15084355564718413;32.84037149607172;0.9914565511331083
122620-PP;GreyMatter;0.45148124563562503;23.810291892372927;0.7924333267383915
122620-PP;Hippocampus;0.1289634862418472;34.12814088109693;0.9826839224439798
122620-PP;Thalamus;0.24451401311866428;46.33238608144415;0.9804736543768137
122620-PP;WhiteMatter;0.44197889547380775;24.268910152703597;0.8141212290473963
123117;Amygdala;0.1529281374314723;30.680449801135573;0.9923520343704298
123117;GreyMatter;0.4310644561338459;13.391788528796292;0.8000898004470877
123117;Hippocampus;0.13521075844118285;32.84037149607172;0.9832892227571655
123117;Thalamus;0.2365730036218182;47.605146780574046;0.9805154144075784
123117;WhiteMatter;0.49596604544766776;20.299999999999997;0.8140217471626892
