LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.14326907663196975
Amygdala;DICE;STD;0.01498436620103847
Amygdala;HDRFDST;MEAN;32.071292761950744
Amygdala;HDRFDST;STD;1.8873739897661255
Amygdala;SSIM;MEAN;0.9882820310567102
Amygdala;SSIM;STD;0.0005901253898649254
GreyMatter;DICE;MEAN;0.42521949807220416
GreyMatter;DICE;STD;0.012532616928954464
GreyMatter;HDRFDST;MEAN;26.884967504250433
GreyMatter;HDRFDST;STD;5.105636326198549
GreyMatter;SSIM;MEAN;0.7522979330714666
GreyMatter;SSIM;STD;0.005051725601808465
Hippocampus;DICE;MEAN;0.13939761050357966
Hippocampus;DICE;STD;0.01213958818111785
Hippocampus;HDRFDST;MEAN;32.47964740261156
Hippocampus;HDRFDST;STD;1.5396443102315356
Hippocampus;SSIM;MEAN;0.9795462846684624
Hippocampus;SSIM;STD;0.0005838158164397023
Thalamus;DICE;MEAN;0.23408360748581258
Thalamus;DICE;STD;0.009030343894955708
Thalamus;HDRFDST;MEAN;48.49202340293114
Thalamus;HDRFDST;STD;1.2450567415094649
Thalamus;SSIM;MEAN;0.9748979103333166
Thalamus;SSIM;STD;0.0005919627978170013
WhiteMatter;DICE;MEAN;0.46004995116293446
WhiteMatter;DICE;STD;0.02232841915998261
WhiteMatter;HDRFDST;MEAN;24.293399662966088
WhiteMatter;HDRFDST;STD;1.304696445691205
WhiteMatter;SSIM;MEAN;0.7723070166145878
WhiteMatter;SSIM;STD;0.0030234383430847323
