LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.1584159930382618
Amygdala;DICE;STD;0.0234086938181882
Amygdala;HDRFDST;MEAN;29.874472017931822
Amygdala;HDRFDST;STD;1.9421435708536754
Amygdala;SSIM;MEAN;0.9899968123270908
Amygdala;SSIM;STD;0.0005719614842481292
GreyMatter;DICE;MEAN;0.44574595377929505
GreyMatter;DICE;STD;0.013616326001351957
GreyMatter;HDRFDST;MEAN;31.778468941956156
GreyMatter;HDRFDST;STD;0.5375050745139732
GreyMatter;SSIM;MEAN;0.7649823006926683
GreyMatter;SSIM;STD;0.004434193043309346
Hippocampus;DICE;MEAN;0.13897549585250107
Hippocampus;DICE;STD;0.011475521449287587
Hippocampus;HDRFDST;MEAN;31.875125707193018
Hippocampus;HDRFDST;STD;1.2745042764318233
Hippocampus;SSIM;MEAN;0.9777041636366205
Hippocampus;SSIM;STD;0.0006127978298912396
Thalamus;DICE;MEAN;0.24310137721384173
Thalamus;DICE;STD;0.008396021776065445
Thalamus;HDRFDST;MEAN;47.000280894866485
Thalamus;HDRFDST;STD;1.0419192884517638
Thalamus;SSIM;MEAN;0.9745950273375547
Thalamus;SSIM;STD;0.0002964195281931434
WhiteMatter;DICE;MEAN;0.4795270838064146
WhiteMatter;DICE;STD;0.02340141186785761
WhiteMatter;HDRFDST;MEAN;22.486972492809294
WhiteMatter;HDRFDST;STD;1.311513670396998
WhiteMatter;SSIM;MEAN;0.7706072647367366
WhiteMatter;SSIM;STD;0.003013961935696435
