SUBJECT;LABEL;DICE;HDRFDST;SSIM
117122;Amygdala;0.13119270916123563;31.2;0.9889631437133657
117122;GreyMatter;0.43081498496151316;30.75841348314311;0.765474816784085
117122;Hippocampus;0.14483781754244585;32.55518391900128;0.9777819926339246
117122;Thalamus;0.24350705943873105;45.993042952168324;0.9747909772271808
117122;WhiteMatter;0.4788375535434716;23.082460874005612;0.7678476475039703
117122-PP;Amygdala;0.13119270916123563;31.2;0.9889631437133657
117122-PP;GreyMatter;0.4307836313707832;30.85190431723786;0.765476722884222
117122-PP;Hippocampus;0.14484312324853013;32.55518391900128;0.9777840748478235
117122-PP;Thalamus;0.24359501301548156;45.993042952168324;0.9747964822392859
117122-PP;WhiteMatter;0.4774409805738525;24.268498099388022;0.7697081008766394
118528;Amygdala;0.11856147060637838;26.67133292507144;0.9898840868668367
118528;GreyMatter;0.45421575849908874;32.31098884280702;0.7605826920668706
118528;Hippocampus;0.13666489698754944;30.31039425675621;0.9764055473309634
118528;Thalamus;0.2414213855271677;47.04550988139038;0.9745112256348741
118528;WhiteMatter;0.4802013565592034;22.8;0.7675324166602019
118528-PP;Amygdala;0.11856147060637838;26.67133292507144;0.9898840868668367
118528-PP;GreyMatter;0.4542275348249687;32.4;0.7605942527227122
118528-PP;Hippocampus;0.1366010721197486;30.31039425675621;0.9764028563615533
118528-PP;Thalamus;0.24149655627654407;47.04550988139038;0.9745162700991252
118528-PP;WhiteMatter;0.47881771865679357;24.029981273400946;0.7697315664605943
118730;Amygdala;0.16395906804648205;33.21204600743531;0.9897898588066573
118730;GreyMatter;0.4466925098112682;32.4;0.7564658614429367
118730;Hippocampus;0.11009723858395064;34.82068350851258;0.9777526871005277
118730;Thalamus;0.22780770977283046;48.0299906308548;0.973915050042131
118730;WhiteMatter;0.44272982972822944;20.4;0.765712518429013
118730-PP;Amygdala;0.16395906804648205;33.21204600743531;0.9897898588066573
118730-PP;GreyMatter;0.4466342519634598;32.4;0.7564620602921494
118730-PP;Hippocampus;0.11010163535073181;34.82068350851258;0.9777536421221925
118730-PP;Thalamus;0.2278860201588646;48.0299906308548;0.9739203304499078
118730-PP;WhiteMatter;0.4414034982538707;22.8;0.7664361181112544
118932;Amygdala;0.16461660853068968;30.476220238080707;0.9903783920030033
118932;GreyMatter;0.45769018451362237;31.130692250574832;0.763585420072962
118932;Hippocampus;0.1429265013444876;32.42221460665511;0.9776050910945725
118932;Thalamus;0.25110739606340526;48.19460550725569;0.9743680515598758
118932;WhiteMatter;0.48399768751740235;20.957099035887577;0.7672717833819159
118932-PP;Amygdala;0.16461660853068968;30.476220238080707;0.9903783920030033
118932-PP;GreyMatter;0.4576337164701034;31.153811965793206;0.7635797683124963
118932-PP;Hippocampus;0.14293183940242762;32.42221460665511;0.9776072337773056
118932-PP;Thalamus;0.25119322273898026;48.19460550725569;0.9743744208090303
118932-PP;WhiteMatter;0.4828369134658749;23.082460874005612;0.7692464295561259
120111;Amygdala;0.131134444190824;31.429922048901105;0.9894340266786956
120111;GreyMatter;0.4256824519456914;32.4;0.7653160196524195
120111;Hippocampus;0.14749077200973848;32.109811584623166;0.9783903920785576
120111;Thalamus;0.23675864057465934;47.53272556881206;0.9743097496217784
120111;WhiteMatter;0.5103983443158051;22.12690669750293;0.766902782016035
120111-PP;Amygdala;0.131134444190824;31.429922048901105;0.9894340266786956
120111-PP;GreyMatter;0.4256422183675607;32.4;0.7653110977680601
120111-PP;Hippocampus;0.14749656391125074;32.109811584623166;0.9783918649222452
120111-PP;Thalamus;0.23684177524736333;47.53272556881206;0.9743150375966261
120111-PP;WhiteMatter;0.50907486765818;24.0;0.7691520087902671
122317;Amygdala;0.16357086569852528;30.38157336281319;0.9896829123592916
122317;GreyMatter;0.4484713303651556;31.794339118780247;0.765156639941816
122317;Hippocampus;0.13196173975816639;31.22306839501845;0.9775764680428111
122317;Thalamus;0.2327277299302194;48.0;0.9747446116739611
122317;WhiteMatter;0.4948554282112515;21.89794510907359;0.7717264428743283
122317-PP;Amygdala;0.16357086569852528;30.38157336281319;0.9896829123592916
122317-PP;GreyMatter;0.4484427642437964;31.884792613407413;0.7651636104898166
122317-PP;Hippocampus;0.13196650303205312;31.22306839501845;0.9775784835690966
122317-PP;Thalamus;0.23280676158374;48.0;0.974749535193937
122317-PP;WhiteMatter;0.49341390473797764;24.0;0.7744092230123535
