LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.14797231010402606
Amygdala;DICE;STD;0.012309068831646923
Amygdala;HDRFDST;MEAN;31.85211055668489
Amygdala;HDRFDST;STD;1.9324991810406507
Amygdala;SSIM;MEAN;0.99074067525252
Amygdala;SSIM;STD;0.00047248142972306813
GreyMatter;DICE;MEAN;0.4293037424996413
GreyMatter;DICE;STD;0.012370360813408974
GreyMatter;HDRFDST;MEAN;29.279092424787535
GreyMatter;HDRFDST;STD;2.9846686215975757
GreyMatter;SSIM;MEAN;0.7733973903986345
GreyMatter;SSIM;STD;0.004970047657239025
Hippocampus;DICE;MEAN;0.13005351706230645
Hippocampus;DICE;STD;0.008353106731708554
Hippocampus;HDRFDST;MEAN;35.01755564541032
Hippocampus;HDRFDST;STD;0.9382412379509646
Hippocampus;SSIM;MEAN;0.9750892459404371
Hippocampus;SSIM;STD;0.0005262429264287309
Thalamus;DICE;MEAN;0.2560932030771959
Thalamus;DICE;STD;0.009642118573891204
Thalamus;HDRFDST;MEAN;48.06322492946614
Thalamus;HDRFDST;STD;1.067665387443802
Thalamus;SSIM;MEAN;0.9792279499014496
Thalamus;SSIM;STD;0.00025955988694219913
WhiteMatter;DICE;MEAN;0.4620126503823297
WhiteMatter;DICE;STD;0.021542183505056732
WhiteMatter;HDRFDST;MEAN;18.603208702960462
WhiteMatter;HDRFDST;STD;1.8315638001708248
WhiteMatter;SSIM;MEAN;0.789932418861077
WhiteMatter;SSIM;STD;0.0028387005156295213
