SUBJECT;LABEL;DICE;SSIM
117122;Amygdala;0.0;0.9981030418886957
117122;GreyMatter;0.5473810246179567;0.7799817429516256
117122;Hippocampus;0.08002524898302707;0.9521333733743352
117122;Thalamus;0.0;0.9943295602055967
117122;WhiteMatter;0.6386499804667771;0.8355713755153272
117122-PP;Amygdala;0.0;0.9981030418886957
117122-PP;GreyMatter;0.5520948013674726;0.7884107302559946
117122-PP;Hippocampus;0.08011904203964944;0.9522847004578949
117122-PP;Thalamus;0.0;0.9943295602055967
117122-PP;WhiteMatter;0.6167788242471257;0.8313717709006789
118528;Amygdala;0.0;0.9980299168998134
118528;GreyMatter;0.5623849280416066;0.7980001621788254
118528;Hippocampus;0.15957566866042208;0.9717590458642206
118528;Thalamus;0.1897408580309425;0.9612961288376329
118528;WhiteMatter;0.6607228871446462;0.8107618197780856
118528-PP;Amygdala;0.0;0.9980299168998134
118528-PP;GreyMatter;0.43531024994682466;0.7766417063258899
118528-PP;Hippocampus;0.16044690163556785;0.9731592924481118
118528-PP;Thalamus;0.1900356456076169;0.9613236857739885
118528-PP;WhiteMatter;0.561073228100432;0.7873312449610217
118730;Amygdala;0.0;0.9980363937303397
118730;GreyMatter;0.6272802391866057;0.8026417780652705
118730;Hippocampus;0.12535475876404045;0.9635368528344004
118730;Thalamus;0.22819186889008217;0.965442511628244
118730;WhiteMatter;0.7273971542436205;0.8431879424092071
118730-PP;Amygdala;0.0;0.9980363937303397
118730-PP;GreyMatter;0.569111122815397;0.7891875135170087
118730-PP;Hippocampus;0.12618399121915524;0.9642681995647842
118730-PP;Thalamus;0.22897675688841979;0.965702039111798
118730-PP;WhiteMatter;0.6142743273566325;0.8139764035195538
118932;Amygdala;0.0;0.9980974121062179
118932;GreyMatter;0.5800791624543787;0.7714350206903412
118932;Hippocampus;0.13203016672866855;0.9583033145534892
118932;Thalamus;0.13804043174906078;0.9720729481517508
118932;WhiteMatter;0.7200193049524362;0.8472765662153126
118932-PP;Amygdala;0.0;0.9980974121062179
118932-PP;GreyMatter;0.582533517776234;0.778475041509329
118932-PP;Hippocampus;0.1345164520249974;0.958899907471412
118932-PP;Thalamus;0.08912834231283673;0.972146877113238
118932-PP;WhiteMatter;0.6647415183948008;0.836024171111502
120111;Amygdala;0.0;0.9978738355845478
120111;GreyMatter;0.630423074301614;0.8138426882856672
120111;Hippocampus;0.16311316534963471;0.9689646410051549
120111;Thalamus;0.2305470328519045;0.9661195121086118
120111;WhiteMatter;0.8020996146221664;0.8764242921010369
120111-PP;Amygdala;0.0;0.9978738355845478
120111-PP;GreyMatter;0.598285424122698;0.8065273306375647
120111-PP;Hippocampus;0.16524331699428976;0.969537159924681
120111-PP;Thalamus;0.2305459509326693;0.9661693378815729
120111-PP;WhiteMatter;0.7060053718862267;0.8438514544207707
122317;Amygdala;0.0;0.9980350954338015
122317;GreyMatter;0.6175853018372703;0.8097622362862068
